lenna 레나
dushevnaya 드셰브니
daiyan 대연
jiangyu 강우
ullrid 울리드
andoris 안도리스
belka 비욜카
zhaohui 조휘
peri 페리
lainie 레이니
phaetusa 파에투사
alva 앨바
cheyanne 샤이엔
liushih 류시
sextans 섹스턴스
ots14 OTs-14
nemesisgnosis 네메시스연광
leva 리바
florence 플로렌스
nikketa 니키타
springfield 스프링필드
voymastina 보이마스티나
yoohee 유희
loreley 로렐라이
sakura 사쿠라
lewis 루이스
qiuhua 추화
vector 벡터
centaureissi 센타우레이시
basti 바스티
lind 린드
klukai 클루카이
mechty 미슈티
helen 헬렌
robella 로벨라
makiatto 마키아토
suomi 수오미
bittersweet 비터캐러멜

qiongjiu 경구
tololo 토로로
stonepillar 금석주
shootingstar 슈팅스타

harpsy 하프시
faye 페이
sabrina 사브리나
peritya 페리티아
vepley 베프리
mosinnagant 모신나강
balthilde 바틸다
papasha 파파샤
